MOVIE_NM,DRCTR_NM,MAKR_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM,CRITIC_RT,VIEWER_RT
산상수훈,유영의,(주)그란,"이언픽쳐스,(주)그란",20171207,개봉영화,장편,한국,71.0,3206000.0,284.0,3206000.0,284.0,드라마,전체관람가,독립/예술영화,3.0,6.3
교회오빠,이호경,"KBS,커넥트픽쳐스(주)",커넥트픽쳐스(주),20190516,개봉영화,장편,한국,200.0,1499000.0,154.0,1499000.0,154.0,다큐멘터리,전체관람가,독립/예술영화,5.59,9.31
기생충,봉준호,(주)바른손이앤에이,(주)씨제이이엔엠,20190530,개봉영화,장편,한국,1948.0,1575865450.0,227811.0,684991280.0,97354.0,드라마,15세이상관람가,일반영화,9.06,8.49
엑시트,이상근,"(주)외유내강,(주)필름케이",(주)씨제이이엔엠,20190731,개봉영화,장편,한국,1660.0,200000.0,40.0,,,코미디,12세이상관람가,일반영화,5.59,7.44
김복동,송원근,한국탐사저널리즘센터,(주)엣나인필름,20190808,개봉영화,장편,한국,366.0,770000.0,110.0,,,다큐멘터리,12세이상관람가,독립/예술영화,6.6,8.83
이타미 준의 바다,정다운,기린그림,(주)영화사 진진,20190815,개봉영화,장편,한국,57.0,865000.0,144.0,865000.0,144.0,다큐멘터리,전체관람가,독립/예술영화,6.5,8.96
벌새,김보라,에피파니(주),"(주)엣나인필름,(주)콘텐츠판다",20190829,개봉영화,장편,한국,145.0,22672400.0,2721.0,18210500.0,2082.0,드라마,15세이상관람가,독립/예술영화,5.59,7.44
메기,이옥섭,"국가인권위원회,2X9HD","(주)엣나인필름,CGV아트하우스",20190926,개봉영화,장편,한국,155.0,6143000.0,745.0,5394000.0,632.0,미스터리,15세이상관람가,독립/예술영화,6.83,8.15
북간도의 십자가,반태경,(재)CBS,"(재)CBS,주식회사 마운틴픽쳐스",20191017,개봉영화,장편,한국,123.0,385000.0,52.0,385000.0,52.0,다큐멘터리,전체관람가,독립/예술영화,5.59,7.9
82년생 김지영,김도영,(주)봄바람영화사,롯데컬처웍스(주)롯데엔터테인먼트,20191023,개봉영화,장편,한국,1486.0,7202000.0,863.0,1662000.0,189.0,드라마,12세이상관람가,일반영화,6.79,6.67
졸업,박주환,미디어나무,(주)시네마달,20191107,개봉영화,장편,한국,12.0,56000.0,16.0,,,다큐멘터리,12세이상관람가,독립/예술영화,5.59,8.33
블랙머니,정지영,"유한회사 질라라비,(주)아우라픽처스",(주)에이스메이커무비웍스,20191113,개봉영화,장편,한국,1117.0,3500000.0,700.0,2450000.0,490.0,범죄,12세이상관람가,일반영화,5.59,7.44
대통령의 7시간,이상호,(주)씨네포트,"(주)씨네포트,주식회사 마운틴픽쳐스",20191114,개봉영화,장편,한국,84.0,1992000.0,256.0,914000.0,108.0,다큐멘터리,12세이상관람가,독립/예술영화,5.59,6.0
삽질,김병기,ohmynews,(주)엣나인필름,20191114,개봉영화,장편,한국,171.0,2060000.0,294.0,1988000.0,284.0,다큐멘터리,12세이상관람가,독립/예술영화,6.0,6.43
윤희에게,임대형,영화사 달리기,(주)리틀빅픽쳐스,20191114,개봉영화,장편,한국,317.0,41753308.0,5224.0,28325808.0,3241.0,멜로/로맨스,12세이상관람가,독립/예술영화,6.71,8.96
어제 일은 모두 괜찮아,이성한,(주)부영엔터테인먼트,(주)삼백상회,20191121,개봉영화,장편,한국,87.0,4439000.0,1095.0,4439000.0,1095.0,드라마,15세이상관람가,독립/예술영화,4.0,8.79
헤로니모,전후석,커넥트픽쳐스(주),커넥트픽쳐스(주),20191121,개봉영화,장편,한국,68.0,5715000.0,842.0,1818000.0,218.0,다큐멘터리,전체관람가,독립/예술영화,6.33,9.46
카센타,하윤재,팔팔애비뉴(주),(주)트리플픽쳐스,20191127,개봉영화,장편,한국,138.0,1080000.0,180.0,,,범죄,15세이상관람가,독립/예술영화,7.0,7.23
녹차의 중력,정성일,영화사 키노(주),주식회사 마운틴픽쳐스,20191128,개봉영화,장편,한국,4.0,797500.0,102.0,570000.0,58.0,다큐멘터리,전체관람가,독립/예술영화,5.59,7.6
앵커,최정민,씨네마캣 픽쳐스,씨네마캣 픽쳐스,20191128,개봉영화,장편,한국,5.0,46000.0,17.0,,,드라마,15세이상관람가,독립/예술영화,5.5,7.08
우리를 갈라놓는 것들,임흥순,반달,(주)엣나인필름,20191128,개봉영화,장편,한국,15.0,233000.0,38.0,,,다큐멘터리,12세이상관람가,독립/예술영화,7.5,7.68
집 이야기,박제범,(주)영화사지음,CGV아트하우스,20191128,개봉영화,장편,한국,82.0,304500.0,45.0,109000.0,15.0,드라마,12세이상관람가,독립/예술영화,6.25,9.09
행동하는 양심 김대중,신상민,명량문화재단,주식회사 마운틴픽쳐스,20191128,개봉영화,장편,한국,86.0,1800000.0,200.0,1800000.0,200.0,다큐멘터리,12세이상관람가,독립/예술영화,5.67,3.34
감쪽같은 그녀,허인무,(주)지오필름,메가박스중앙(주)플러스엠,20191204,개봉영화,장편,한국,761.0,384000.0,52.0,,,드라마,전체관람가,일반영화,5.0,7.71
극장판 타오르지마 버스터-블랙어썰트의 귀환,조영광,(주)시너지미디어,(주)이수C&E,20191205,개봉영화,장편,한국,259.0,588000.0,98.0,,,코미디,전체관람가,독립/예술영화,5.59,9.56
이태원,강유가람,영희야 놀자,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),20191205,개봉영화,장편,한국,15.0,8247000.0,960.0,7481000.0,844.0,다큐멘터리,15세이상관람가,독립/예술영화,5.59,7.44
아내를 죽였다,김하라,단테미디어랩,케이티하이텔(주),20191211,개봉영화,장편,한국,556.0,29452000.0,5798.0,29261000.0,5765.0,스릴러,15세이상관람가,독립/예술영화,5.59,5.06
디아스포라의 노래 : 아리랑 로드,이규철,KBS 미디어,(주)드림팩트엔터테인먼트,20191212,개봉영화,장편,한국,7.0,4325000.0,863.0,20000.0,2.0,다큐멘터리,전체관람가,독립/예술영화,5.0,8.11
라스트 씬,박배일,오지필름,(주)시네마달,20191212,개봉영화,장편,한국,7.0,437000.0,68.0,99000.0,17.0,다큐멘터리,전체관람가,독립/예술영화,5.67,7.11
속물들,"신아가,이상철",영화사고래,(주)삼백상회,20191212,개봉영화,장편,한국,95.0,1161800.0,214.0,,,드라마,15세이상관람가,독립/예술영화,6.25,6.09
영화로운 나날,이상덕,콧수염필름즈,㈜인디스토리,20191212,개봉영화,장편,한국,17.0,3828500.0,493.0,3213000.0,387.0,멜로/로맨스,12세이상관람가,독립/예술영화,5.75,8.51
