MOVIE_NM,DRCTR_NM,MAKR_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,VIEWNG_NMPR_CO,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM,CRITIC_RT,VIEWER_RT,YEAR,MONTH,DISTB_CMPNY_COUNT,SUCCESS
산상수훈,유영의,(주)그란,"['이언픽쳐스', '(주)그란']",20171207,개봉영화,장편,한국,71.0,284.0,284.0,드라마,전체관람가,독립/예술영화,3.0,6.3,2017,12,2,0.0
교회오빠,이호경,"KBS,커넥트픽쳐스(주)",['커넥트픽쳐스(주)'],20190516,개봉영화,장편,한국,200.0,154.0,154.0,다큐멘터리,전체관람가,독립/예술영화,5.59,9.31,2019,05,1,0.0
기생충,봉준호,(주)바른손이앤에이,['(주)씨제이이엔엠'],20190530,개봉영화,장편,한국,1948.0,227811.0,97354.0,드라마,15세이상관람가,일반영화,9.06,8.49,2019,05,1,1.0
이타미 준의 바다,정다운,기린그림,['(주)영화사 진진'],20190815,개봉영화,장편,한국,57.0,144.0,144.0,다큐멘터리,전체관람가,독립/예술영화,6.5,8.96,2019,08,1,0.0
벌새,김보라,에피파니(주),"['(주)엣나인필름', '(주)콘텐츠판다']",20190829,개봉영화,장편,한국,145.0,2721.0,2082.0,드라마,15세이상관람가,독립/예술영화,5.59,7.44,2019,08,2,1.0
메기,이옥섭,"국가인권위원회,2X9HD","['(주)엣나인필름', 'CGV아트하우스']",20190926,개봉영화,장편,한국,155.0,745.0,632.0,미스터리,15세이상관람가,독립/예술영화,6.83,8.15,2019,09,2,0.0
북간도의 십자가,반태경,(재)CBS,"['(재)CBS', '주식회사 마운틴픽쳐스']",20191017,개봉영화,장편,한국,123.0,52.0,52.0,다큐멘터리,전체관람가,독립/예술영화,5.59,7.9,2019,10,2,0.0
82년생 김지영,김도영,(주)봄바람영화사,['롯데컬처웍스(주)롯데엔터테인먼트'],20191023,개봉영화,장편,한국,1486.0,863.0,189.0,드라마,12세이상관람가,일반영화,6.79,6.67,2019,10,1,0.0
블랙머니,정지영,"유한회사 질라라비,(주)아우라픽처스",['(주)에이스메이커무비웍스'],20191113,개봉영화,장편,한국,1117.0,700.0,490.0,범죄,12세이상관람가,일반영화,5.59,7.44,2019,11,1,0.0
대통령의 7시간,이상호,(주)씨네포트,"['(주)씨네포트', '주식회사 마운틴픽쳐스']",20191114,개봉영화,장편,한국,84.0,256.0,108.0,다큐멘터리,12세이상관람가,독립/예술영화,5.59,6.0,2019,11,2,0.0
삽질,김병기,ohmynews,['(주)엣나인필름'],20191114,개봉영화,장편,한국,171.0,294.0,284.0,다큐멘터리,12세이상관람가,독립/예술영화,6.0,6.43,2019,11,1,0.0
윤희에게,임대형,영화사 달리기,['(주)리틀빅픽쳐스'],20191114,개봉영화,장편,한국,317.0,5224.0,3241.0,멜로/로맨스,12세이상관람가,독립/예술영화,6.71,8.96,2019,11,1,1.0
어제 일은 모두 괜찮아,이성한,(주)부영엔터테인먼트,['(주)삼백상회'],20191121,개봉영화,장편,한국,87.0,1095.0,1095.0,드라마,15세이상관람가,독립/예술영화,4.0,8.79,2019,11,1,1.0
헤로니모,전후석,커넥트픽쳐스(주),['커넥트픽쳐스(주)'],20191121,개봉영화,장편,한국,68.0,842.0,218.0,다큐멘터리,전체관람가,독립/예술영화,6.33,9.46,2019,11,1,0.0
녹차의 중력,정성일,영화사 키노(주),['주식회사 마운틴픽쳐스'],20191128,개봉영화,장편,한국,4.0,102.0,58.0,다큐멘터리,전체관람가,독립/예술영화,5.59,7.6,2019,11,1,0.0
집 이야기,박제범,(주)영화사지음,['CGV아트하우스'],20191128,개봉영화,장편,한국,82.0,45.0,15.0,드라마,12세이상관람가,독립/예술영화,6.25,9.09,2019,11,1,0.0
행동하는 양심 김대중,신상민,명량문화재단,['주식회사 마운틴픽쳐스'],20191128,개봉영화,장편,한국,86.0,200.0,200.0,다큐멘터리,12세이상관람가,독립/예술영화,5.67,3.34,2019,11,1,0.0
이태원,강유가람,영희야 놀자,['KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)'],20191205,개봉영화,장편,한국,15.0,960.0,844.0,다큐멘터리,15세이상관람가,독립/예술영화,5.59,7.44,2019,12,1,1.0
아내를 죽였다,김하라,단테미디어랩,['케이티하이텔(주)'],20191211,개봉영화,장편,한국,556.0,5798.0,5765.0,스릴러,15세이상관람가,독립/예술영화,5.59,5.06,2019,12,1,1.0
디아스포라의 노래 : 아리랑 로드,이규철,KBS 미디어,['(주)드림팩트엔터테인먼트'],20191212,개봉영화,장편,한국,7.0,863.0,2.0,다큐멘터리,전체관람가,독립/예술영화,5.0,8.11,2019,12,1,0.0
라스트 씬,박배일,오지필름,['(주)시네마달'],20191212,개봉영화,장편,한국,7.0,68.0,17.0,다큐멘터리,전체관람가,독립/예술영화,5.67,7.11,2019,12,1,0.0
영화로운 나날,이상덕,콧수염필름즈,['㈜인디스토리'],20191212,개봉영화,장편,한국,17.0,493.0,387.0,멜로/로맨스,12세이상관람가,독립/예술영화,5.75,8.51,2019,12,1,0.0
월성,"남태제,김성환",한국탐사저널리즘센터,['(주)리틀빅픽쳐스'],20191212,개봉영화,장편,한국,26.0,468.0,36.0,다큐멘터리,전체관람가,독립/예술영화,4.67,6.25,2019,12,1,0.0
시동,최정열,(주)외유내강,['(주)넥스트엔터테인먼트월드(NEW)'],20191218,개봉영화,장편,한국,1515.0,791052.0,158887.0,드라마,15세이상관람가,일반영화,6.0,7.57,2019,12,1,1.0
기억할 만한 지나침,박영임,순리필름,['영화배급협동조합 씨네소파'],20191219,개봉영화,장편,한국,2.0,187.0,67.0,드라마,15세이상관람가,독립/예술영화,5.67,7.44,2019,12,1,0.0
백두산,"이해준,김병서","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠","['(주)씨제이이엔엠', '(주)덱스터스튜디오']",20191219,개봉영화,장편,한국,1971.0,1962167.0,406602.0,어드벤처,12세이상관람가,일반영화,5.67,5.74,2019,12,2,1.0
신비아파트 극장판 하늘도깨비 대 요르문간드,변영규,(주)씨제이이엔엠,['(주)씨제이이엔엠'],20191219,개봉영화,장편,한국,841.0,221099.0,25888.0,애니메이션,전체관람가,일반영화,6.0,8.54,2019,12,1,1.0
탈출,이숭환,(주)케이알씨지,['(주)케이알씨지'],20191219,개봉영화,장편,한국,5.0,33.0,1.0,드라마,12세이상관람가,독립/예술영화,5.59,7.44,2019,12,1,0.0
호흡,권만기,한국영화아카데미,['(주)영화사 그램'],20191219,개봉영화,장편,한국,22.0,246.0,65.0,드라마,15세이상관람가,독립/예술영화,5.59,7.44,2019,12,1,0.0
천문: 하늘에 묻는다,허진호,(주)하이브미디어코프,['롯데컬처웍스(주)롯데엔터테인먼트'],20191226,개봉영화,장편,한국,1198.0,1034866.0,260317.0,사극,12세이상관람가,일반영화,6.7,8.81,2019,12,1,1.0
잊지 않았어요,박용철,청개구리필름,['주식회사 씨엠닉스'],20200101,개봉영화,장편,한국,1.0,75.0,75.0,기타,15세이상관람가,독립/예술영화,5.59,7.44,2020,01,1,0.0
청춘빌라 살인사건,신해강,(주)메가폰엔터테인먼트,['(주)미로스페이스'],20200102,개봉영화,장편,한국,6.0,1068.0,337.0,코미디,15세이상관람가,독립/예술영화,5.33,6.81,2020,01,1,1.0
